Date,Natural_Gas,Crude_oil,Bitcoin,Ethereum,Nasdaq100,Apple,Tesla,Microsoft,Silver,Google,Nvidia,Berkshire,Netflix,Amazon,Meta,Gold
2/2/2024,13434,332421,42650,246890,315620000,102550000,110610000,28260000,33432,62500000,47660000,10580,4030000,117220000,84710000,
1/2/2024,161340,577940,47690,323610,240640000,53490000,90680000,29230000,85160,37120000,36020000,9780,3150000,66360000,25140000,260920
31-01-2024,142860,344490,56480,408790,366450000,54830000,102270000,46780000,66910,71370000,45070000,9720,4830000,49690000,20010000,238370
30-01-2024,139750,347240,55130,387120,236210000,55270000,105540000,29340000,53370,33060000,39600000,9750,6120000,42290000,18610000,214590
29-01-2024,3590,331930,45230,318840,238750000,46890000,123600000,23290000,330,27590000,33900000,13850,6880000,42840000,17790000,1780
26-01-2024,73020,365460,69470,377790,252940000,44590000,107340000,17800000,330,26120000,39030000,10040,12770000,51050000,13160000,410
25-01-2024,44980,320180,46300,344110,288830000,54530000,198080000,20550000,160,28930000,47310000,9350,9450000,43310000,15090000,460
24-01-2024,65500,323730,58640,373250,259360000,53460000,112940000,23280000,160,25160000,55710000,9560,26350000,47640000,15700000,800
23-01-2024,69160,306060,82670,750520,199930000,42200000,105840000,18230000,160,21190000,29120000,8640,14190000,34930000,15450000,370
22-01-2024,121580,28910,85100,560840,257760000,60130000,117950000,27020000,160,32200000,45300000,11600,5210000,43690000,17490000,330
19-01-2024,138430,78230,72640,443420,327070000,68900000,102260000,29330000,160,34270000,54350000,8830,5670000,51650000,21670000,300
18-01-2024,151820,86650,70350,467220,264340000,77400000,107810000,21980000,160,25690000,48620000,7820,4020000,37350000,15930000,350
17-01-2024,150330,315680,50440,380900,217620000,47190000,102580000,20260000,160,20940000,47250000,8360,4880000,34350000,12660000,180
16-01-2024,228160,430440,63930,395070,247750000,65440000,114850000,26920000,160,22630000,44150000,11870,4670000,40060000,15260000,480
12/1/2024,265880,403640,136920,931960,189670000,40480000,123040000,21660000,160,18790000,35300000,8120,5000000,40480000,19310000,560
11/1/2024,235030,373650,131040,889360,219920000,49130000,105870000,27850000,160,24010000,59680000,8290,7990000,49070000,16890000,360
